Time(s),Thrust(N)
38.85,79866.60646
38.88,79942.79829
38.91,80019.02068
38.94,80095.26996
38.97,80171.54949
39.0,80247.86685
39.03,80324.21101
39.06,80400.55702
39.09,80476.83084
39.12,80553.13151
39.15,80629.46055
39.18,80705.83112
39.21,79681.8791
39.24,75410.26234
39.27,74620.23358
39.3,74046.11532
39.33,73579.67338
39.36,73220.7683
39.39,72849.20487
39.42,72502.10791
39.45,72142.4194
39.48,71782.51617
39.51,71638.1239
39.54,71299.64582
39.57,70918.96848
39.6,70667.47696
39.63,70308.8498
39.66,69950.02722
39.69,69698.09012
39.72,69445.62848
39.75,69192.87817
39.78,68939.67621
39.81,68686.27109
39.84,68540.51708
39.87,68286.84959
39.9,68034.31858
39.93,67938.74191
39.96,67632.72108
39.99,67378.10243
40.02,67209.63822
40.05,67118.02655
40.08,66827.55279
40.11,66679.34557
40.14,66530.81145
40.17,66381.87391
40.2,66232.55115
40.23,66082.95868
40.26,65932.96041
40.29,65782.55359
40.32,65735.08651
40.35,65590.61873
40.38,65439.24735
40.41,65287.55469
40.44,65131.22114
40.47,65046.86051
40.5,64941.05006
40.53,64788.33677
40.56,64653.66653
40.59,64569.96044
40.62,64486.41817
40.65,64287.40736
40.68,64134.7022
40.71,64092.23476
40.74,63939.52856
40.77,63822.32072
40.8,63744.20892
40.83,63523.15387
40.86,63440.3828
40.89,63357.70657
40.92,63240.778
40.95,63071.42349
40.98,62989.71976
41.01,62907.71274
41.04,62731.21124
41.07,62574.7027
41.1,62529.68826
41.13,62471.62373
41.16,62389.93596
41.19,62169.28679
41.22,62123.60371
41.25,62045.18178
41.28,61963.72187
41.31,61882.15571
41.34,61827.46645
41.37,61624.80823
41.4,61543.53574
41.43,61463.08488
41.46,61416.74324
41.49,61208.83583
41.52,61210.5758
41.55,61050.66603
41.58,61003.79936
41.61,60798.07518
41.64,60796.02297
41.67,60749.54931
41.7,60668.36058
41.73,60539.33851
